mode,month,dtrip,dtrip_y2,expansion_factor,draw
sh,8,196182.8566894531,204976.0263671875,1.0448213,30
fh,9,380.2177696228027,362.8069219589233,.9542082,30
pr,9,105732.013671875,99679.36639404297,.94275481,30
sh,9,53214.84130859375,49757.79479980469,.93503606,30
fh,10,4124.157897949219,4175.398742675781,1.0124246,30
pr,10,54579.70361328125,55424.94958496094,1.0154865,30
sh,10,10330.17419433594,11124.80297851563,1.0769231,30
fh,11,482.1766891479492,527.3028259277344,1.0935884,30
pr,11,89943.2314453125,74070.896484375,.82352942,30
sh,11,0,0,1,30
fh,12,111.0870909690857,133.3045091629028,1.2,30
pr,12,0,0,1,30
sh,12,0,0,1,30
fh,1,0,0,1,31
pr,1,0,0,1,31
sh,1,0,0,1,31
fh,2,0,0,1,31
pr,2,0,0,1,31
sh,2,0,0,1,31
fh,3,0,0,1,31
pr,3,0,0,1,31
sh,3,0,0,1,31
fh,4,0,0,1,31
pr,4,1007.763977050781,1007.763977050781,1,31
sh,4,5625.33837890625,5625.33837890625,1,31
fh,5,230.1524472236633,218.8050014972687,.95069593,31
pr,5,37501.73147583008,40066.70434570313,1.0683961,31
sh,5,39027.28100585938,40849.4423828125,1.0466894,31
fh,6,922.0821475982666,903.1536026000977,.97947198,31
pr,6,53576.79290771484,55794.39587402344,1.0413911,31
sh,6,236003.2470703125,232662.775390625,.98584563,31
fh,7,2775.393264770508,2775.910026550293,1.0001862,31
pr,7,267835.748046875,269288.37109375,1.0054235,31
sh,7,201766.1040039063,191314.1560058594,.94819772,31
fh,8,3151.137535095215,3055.390087127686,.96961498,31
pr,8,170544.6201171875,170476.9155273438,.99960303,31
sh,8,162565.6079101563,171493.7216796875,1.0549201,31
fh,9,884.1023788452148,885.1380081176758,1.0011714,31
pr,9,84657.0380859375,81433.3828125,.96192098,31
sh,9,40597.36572265625,38619.16915893555,.95127279,31
fh,10,3776.092491149902,3735.496871948242,.98924929,31
pr,10,67465.0234375,68776.26513671875,1.0194359,31
sh,10,7815.50732421875,8416.7001953125,1.0769231,31
fh,11,612.9722671508789,653.7404022216797,1.0665089,31
pr,11,38667.81567382813,31844.08349609375,.82352942,31
sh,11,0,0,1,31
fh,12,918.6776161193848,1102.413139343262,1.2,31
pr,12,0,0,1,31
sh,12,0,0,1,31
fh,1,0,0,1,32
pr,1,0,0,1,32
sh,1,0,0,1,32
fh,2,0,0,1,32
pr,2,0,0,1,32
sh,2,0,0,1,32
fh,3,0,0,1,32
pr,3,0,0,1,32
sh,3,0,0,1,32
fh,4,0,0,1,32
pr,4,9613.5380859375,9613.5380859375,1,32
sh,4,11827.50952148438,11827.50952148438,1,32
fh,5,871.8322601318359,906.0320930480957,1.0392275,32
pr,5,17491.57019042969,18343.46350097656,1.0487031,32
sh,5,40173.11352539063,41396.29858398438,1.0304478,32
fh,6,834.5355033874512,824.129768371582,.98753113,32
pr,6,57849.81628417969,56611.62255859375,.97859639,32
sh,6,168954.4573974609,160069.5625,.94741249,32
fh,7,3083.745086669922,3097.969215393066,1.0046126,32
pr,7,248397.0009765625,244809.4301757813,.98555708,32
sh,7,419517.2705078125,398725.3706054688,.9504385,32
fh,8,3295.206802368164,3226.202278137207,.9790591,32
pr,8,207058.2507324219,213280.8408203125,1.0300524,32
sh,8,295970.2465820313,305037.4072265625,1.0306354,32
fh,9,1074.17911529541,1077.245254516602,1.0028543,32
pr,9,186570.85546875,178337.0515136719,.95586771,32
sh,9,13109.8095703125,12603.66119384766,.96139163,32
